Column1;datetime;username;origin_text;text;like;retweet;reply;neg;neu;pos;compound;sentiment
0;2020-05-01;himmoderator;"Whatever happened to that  #Indonesia  government promise to release 50,000 detainees from  #jails  and  #prisons ?  #covid19   #coronavirus  

 ";whatever happened indonesia government promise release 50000 detainees jails prisons covid19 coronavirus;1;1;0;0;887;113;3182;Positive
1;2020-05-01;himmoderator;Thank you  @febrofirdaus  for publishing this piece with a shocking photo of  #Penjara   #Salemba  in  #Jakarta   #Indonesia .  #covid19   #coronavirus   #jail ;thank febrofirdaus publishing piece shocking photo penjara salemba jakarta indonesia covid19 coronavirus jail;2;4;0;112;785;103;-516;Negative
2;2020-05-01;Indorosstaylor;Indonesian  villagers block  coronavirus  burials, fearing contamination    via  @SCMPNews;indonesian villagers block coronavirus burials fearing contamination via scmpnews;1;0;0;452;548;0;-765;Negative
3;2020-05-01;epaphotos;"An  Indonesian  official wearing a robot costume asks people to stay home during a campaign amid the COVID-19  coronavirus  outbreak at a slum area in Bandung, West Java,  Indonesia .   epa-efe / Iqbal Kusumadirezza

 #epaphotos   #photojournalism   #Indonesia   #WestJava ";indonesian official wearing robot costume asks people stay home campaign amid covid19 coronavirus outbreak slum area bandung west java indonesia epaefe iqbal kusumadirezza epaphotos photojournalism indonesia westjava;7;5;0;0;10;0;0;Neutral
4;2020-05-01;Tashtania;"""With global attention fixated on the  coronavirus  pandemic, the small [ Indonesian ] Central Sulawesi city of Poso and its surrounding mountains have seen a concerning mini-resurgence in jihadi activity.""  ";global attention fixated coronavirus pandemic small indonesian central sulawesi city poso surrounding mountains seen concerning miniresurgence jihadi activity;0;0;1;0;10;0;0;Neutral
5;2020-05-01;Indounik;Media  Indonesia  quoted Bangli  #COVID19  task force deputy chairman Lieutenant Colonel Inf Himawan Teddy Laksono saying the decision was made as a result of the transmission of the  coronavirus  from one  Indonesian  migrant worker to 10 residents in the Banjar Serokadan neighb;media indonesia quoted bangli covid19 task force deputy chairman lieutenant colonel inf himawan teddy laksono saying decision made result transmission coronavirus one indonesian migrant worker 10 residents banjar serokadan neighb;2;1;2;0;10;0;0;Neutral
6;2020-05-01;tia_rohman18;Goodbye, April! Welcome, May! Now I just want  corona virus  could end fast in  Indonesia  & around the world now! Aamiin        ;goodbye april welcome may want corona virus could end fast indonesia around world aamiin;2;0;1;0;786;214;6341;Positive
7;2020-05-01;WalterHorsting;Indonesian  study: Low Vitamin D patients ten times more likely to die of  Coronavirus   JoNova    via  @JoanneNova;indonesian study low vitamin patients ten times likely die coronavirus  jonova via joannenova;3;1;1;256;654;9;-6204;Negative
8;2020-05-01;IndonesiaAust;"Indonesian  President  @jokowi  tells nation the  #coronavirus  pandemic exposed problems in their health security system - medical facilities, staff, pharma & equipment - and ""allowed us to see potential resources that we have not yet managed & developed well""  ";indonesian president jokowi tells nation coronavirus pandemic exposed problems health security system medical facilities staff pharma equipment allowed us see potential resources yet managed developed well;0;1;0;92;805;103;128;Positive
9;2020-05-01;SakibAwan02;"Excellent article from  @sdjaffrey  about  Indonesia s  coronavirus  response  set back by misplaced priorities and a distrust of data.  @GavinCoote   @nadiasdaly   @LaurenTomasi   @CarnegieEndow   #indonesia   #timorleste   #dili   #covid19  
 ";excellent article sdjaffrey indonesia  coronavirus response  set back misplaced priorities distrust data gavincoote nadiasdaly laurentomasi carnegieendow indonesia timorleste dili covid19;2;0;0;84;806;11;2263;Positive
10;2020-05-01;TinaFair21;"Can anyone help ... please forward!  Poor Animals. 
 #Coronavirus   #Zoo   #Indonesia   #Foodshortage   #helpothers 
Virus pushes  Indonesia  zoo animals to brink of starvation  ";anyone help please forward poor animals coronavirus zoo indonesia foodshortage helpothers virus pushes indonesia zoo animals brink starvation;0;0;0;113;694;193;2942;Positive
11;2020-05-01;DestinAsian_Mag;"Coronavirus :  Indonesia  Suspends All Passenger Flights and Ferries.

  ";coronavirus indonesia suspends passenger flights ferries;2;1;0;0;10;0;0;Neutral
12;2020-05-01;anon_indonesia;Greta Thunberg donating $100K to help children during  coronavirus  pandemic  ;greta thunberg donating 100k help children coronavirus pandemic;0;0;0;0;769;231;4019;Positive
13;2020-05-01;MonicavanDelden;Coronavirus  pandemic pushes  Indonesia  zoo animals to brink of starvation;coronavirus pandemic pushes indonesia zoo animals brink starvation;0;1;0;0;10;0;0;Neutral
14;2020-05-01;vomaustralia;"Many Christians are facing increased persecution during the  coronavirus  pandemic, especially in parts of  Indonesia  where even small family gatherings of Christians are being protested   
 #Indonesia   #Pray   #Christian   #Persecution   #VOMAus ";many christians facing increased persecution coronavirus pandemic especially parts indonesia even small family gatherings christians protested indonesia pray christian persecution vomaus;6;5;0;44;826;13;4404;Positive
15;2020-05-01;Middle_E_Daily;Indonesia  announces 260  coronavirus  cases, 11 deaths   ;indonesia announces 260 coronavirus cases 11 deaths;0;0;0;0;10;0;0;Neutral
16;2020-05-01;GlobalPandemics;"COVID-ALERT: A local government in  Indonesia , lacking  coronavirus  support
from national government, forced to use abandoned and œhaunted
houses to lock up quarantine violators - Global Pandemic News |  #Coronavirus   #COVID19  -  ";covidalert local government indonesia lacking coronavirus support national government forced use abandoned œ haunted  houses lock quarantine violators global pandemic news coronavirus covid19;1;0;0;214;721;65;-7351;Negative
17;2020-05-01;tavare24karat;"A rapid test in a village is carried out in secret to reduce anxiety in the community. About 10 people are suspected of having a  corona virus 

Photo ID: 363247633
   

 #Editorial   #COVID__19   #COVID19   #coronavirus   #daily   #new";rapid test village carried secret reduce anxiety community 10 people suspected corona virus photo id 363247633 editorial covid19 covid19 coronavirus daily new;0;0;0;93;907;0;-3818;Negative
18;2020-05-01;AchmFirmansyah;"Another point of view:
Carnegie Endowment for International Peace:  Coronavirus  Blunders in  Indonesia  Turn Crisis Into Catastrophe.
  

via  @googlenews  .";another point view carnegie endowment international peace coronavirus blunders indonesia turn crisis catastrophe via googlenews;1;0;0;283;6;117;-7184;Negative
19;2020-05-01;EliseoHer25;"How the general public looks for answers when it's right in front of their faces 

 #Sheep   #coronavirus   #Quran   #ramadan   #quarantine   #quarantinelife   #zootopia   #generalpublic   #india   #indonesia   #brazil   #russia   #turkey   ";general public looks answers right front faces sheep coronavirus quran ramadan quarantine quarantinelife zootopia generalpublic india indonesia brazil russia turkey ;0;0;0;0;10;0;0;Neutral
